Weather_Condition,Road_Type,Road_Condition,Speed_Limit,Time_of_Day,Vehicle_Type,Driver_Age,State,City,Accident_Severity
Clear,Highway,Potholes,220,Afternoon,Truck,40.0,Haryana,Faridabad,Fatal
Fog,Highway,Normal,55,Morning,Truck,33.0,Haryana,Panipat,Moderate
Fog,Highway,Hill Area,120,Evening,Car,42.0,Haryana,Nuh,Fatal
Rain,Highway,Potholes,120,Morning,Car,53.0,Karnataka,Bengaluru,Fatal
Snow,Highway,Hill Area,100,Morning,Bus,32.0,Delhi,South East Delhi,Fatal
Rain,Rural Road,Normal,45,Morning,Truck,32.0,Maharashtra,Mumbai,Moderate
Fog,City Street,Hill Area,30,Evening,Truck,53.0,Maharashtra,Nagpur,Severe
Clear,Rural Road,Wet,55,Afternoon,Truck,44.0,Karnataka,Hubli,Minor
Snow,Highway,Wet,65,Morning,Motorcycle,29.0,Karnataka,Mangaluru,Fatal
Snow,Highway,Hill Area,70,Night,Bus,41.0,Haryana,Jind,Fatal
Snow,Rural Road,Hill Area,90,Night,Motorcycle,29.0,Haryana,Fatehabad,Fatal
Clear,Highway,Normal,65,Afternoon,Truck,29.0,Uttar Pradesh,Mau,Moderate
Fog,Rural Road,Hill Area,120,Evening,Car,37.0,Uttar Pradesh,Barabanki,Fatal
Snow,Highway,Potholes,100,Night,Truck,16.0,Karnataka,Bengaluru,Fatal
,Rural Road,Potholes,90,Afternoon,Truck,16.0,Maharashtra,Pune,Severe
Snow,City Street,Normal,25,Morning,Motorcycle,,Maharashtra,Pune,Severe
Clear,Highway,Hill Area,200,Morning,Truck,22.0,Haryana,Yamunanagar,Fatal
Snow,Rural Road,Hill Area,70,Afternoon,Truck,38.0,Uttar Pradesh,Jaunpur,Fatal
Fog,Rural Road,Hill Area,55,Morning,Truck,24.0,Haryana,Charkhi Dadri,Severe
Rain,Rural Road,Wet,45,Morning,Car,18.0,Uttar Pradesh,Ayodhya,Moderate
Clear,City Street,Normal,30,Afternoon,Motorcycle,52.0,Uttar Pradesh,Rampur,Moderate
Fog,Highway,Hill Area,150,Night,Truck,32.0,Delhi,East Delhi,Fatal
Fog,City Street,Hill Area,80,Morning,Car,35.0,Delhi,Shahdara,Fatal
Clear,Highway,Wet,70,Afternoon,Bus,17.0,Haryana,Nuh,Severe
Fog,Highway,Normal,220,Night,Car,28.0,Delhi,West Delhi,Fatal
Clear,Highway,Wet,150,Night,Bus,36.0,Karnataka,Mysuru,Fatal
Rain,City Street,Normal,45,Night,Motorcycle,21.0,Karnataka,Mangaluru,Fatal
Rain,Highway,Potholes,120,Afternoon,Car,39.0,Tamil Nadu,Chennai,Fatal
Clear,Rural Road,Hill Area,45,Afternoon,Car,27.0,Tamil Nadu,Chennai,Severe
Clear,Rural Road,Wet,90,Night,Car,31.0,Tamil Nadu,Coimbatore,Severe
Clear,City Street,Potholes,30,Evening,Truck,27.0,Uttar Pradesh,Jhansi,Minor
Fog,Highway,Potholes,200,Night,Motorcycle,57.0,Delhi,Central Delhi,Fatal
Clear,Rural Road,Wet,45,Evening,Truck,34.0,Maharashtra,Mumbai,Moderate
Snow,Highway,Hill Area,100,Evening,Car,22.0,Uttar Pradesh,Sitapur,Fatal
Rain,City Street,Normal,60,Morning,Truck,44.0,Maharashtra,Nagpur,Minor
Snow,Highway,Potholes,150,Night,Motorcycle,20.0,Delhi,East Delhi,Fatal
Clear,Highway,Potholes,220,Afternoon,Motorcycle,37.0,Haryana,Palwal,Fatal
Clear,Highway,Normal,150,Afternoon,Car,16.0,Maharashtra,Pune,Fatal
Clear,City Street,Potholes,30,Morning,Motorcycle,19.0,Haryana,Yamunanagar,Severe
Snow,Rural Road,Hill Area,70,Afternoon,Truck,37.0,Haryana,Gurugram,Severe
Rain,Rural Road,Potholes,120,Night,Truck,43.0,Maharashtra,Pune,Fatal
Fog,Highway,Hill Area,100,Afternoon,Truck,37.0,Karnataka,Mangaluru,Fatal
Rain,Highway,Wet,100,Night,Motorcycle,33.0,Maharashtra,Mumbai,Fatal
Fog,Rural Road,Potholes,90,Morning,Car,31.0,Maharashtra,Pune,Fatal
Clear,Highway,Hill Area,150,Evening,Motorcycle,17.0,Karnataka,Bengaluru,Fatal
Snow,Highway,Hill Area,65,Morning,Truck,26.0,Maharashtra,Nashik,Fatal
Snow,Rural Road,Normal,55,Evening,Motorcycle,29.0,Uttar Pradesh,Mainpuri,Severe
Snow,Rural Road,Wet,120,Afternoon,Bus,47.0,Uttar Pradesh,Lalitpur,Fatal
Snow,City Street,Normal,60,Evening,Motorcycle,39.0,Haryana,Nuh,Severe
Fog,City Street,Hill Area,80,Afternoon,Bus,16.0,Uttar Pradesh,Chandauli,Fatal
